YearWeek,Playercount,Finalprice
2019-04-01,292.66315789473686,9.99
2019-04-08,297.2501240694789,9.99
2019-04-15,295.05308831036245,9.99
2019-04-22,283.4094527363184,9.99
2019-04-29,289.88877855014897,9.99
2019-05-06,291.15962207856785,9.99
2019-05-13,269.34624937903624,9.99
2019-05-20,306.6324404761905,9.99
2019-05-27,338.61139112903226,9.99
2019-06-03,310.9076690211907,9.99
2019-06-10,315.546812749004,9.99
2019-06-17,323.12412412412414,9.99
2019-06-24,961.7901541521632,2.275714285714286
2019-07-01,1122.0019910403187,0.99
2019-07-08,798.1129353233831,8.704285714285714
2019-07-15,525.8761194029851,9.99
2019-07-22,434.75409836065575,9.99
2019-07-29,394.19642857142856,9.99
2019-08-05,370.3359840954274,9.99
2019-08-12,339.64945382323737,9.99
2019-08-19,319.5124254473161,9.99
2019-08-26,312.76616915422886,9.99
2019-09-02,305.1440635866865,9.99
2019-09-09,271.216052498738,9.99
2019-09-16,270.5637922339889,9.99
2019-09-23,263.42764146219326,9.99
2019-09-30,275.38847117794484,9.99
2019-10-07,262.87095166915793,9.99
2019-10-14,258.90850323222276,9.99
2019-10-21,270.26683291770576,9.99
2019-10-28,270.48142570281124,9.99
2019-11-04,271.6333333333333,9.99
2019-11-11,272.34255533199195,9.99
2019-11-18,292.0101988781234,9.99
2019-11-25,837.5131644311972,2.275714285714286
2019-12-02,683.2447864945383,8.704285714285714
2019-12-09,460.7590660705415,9.99
2019-12-16,586.5756218905473,4.847142857142857
2019-12-23,1054.2186878727634,0.99
2019-12-30,928.9359483614697,6.132857142857143
2020-01-06,572.5114427860697,9.99
2020-01-13,468.38021868787274,9.99
2020-01-20,439.4168734491315,9.99
2020-01-27,410.1343813387424,9.99
2020-02-03,385.02443890274316,9.99
2020-02-10,367.11022840119165,9.99
2020-02-17,358.8282025819265,9.99
2020-02-24,345.36855158730157,9.99
2020-03-02,333.01686507936506,9.99
2020-03-09,379.90277777777777,9.99
2020-03-16,558.7435515873016,9.99
2020-03-23,637.639662027833,9.99
2020-03-30,679.8717693836978,9.99
2020-04-06,664.5697270471464,9.99
2020-04-13,708.9950298210736,9.99
2020-04-20,665.5493796526055,9.99
2020-04-27,627.740317775571,9.99
2020-05-04,558.7678571428571,9.99
2020-05-11,505.68551587301585,9.99
2020-05-18,530.0923535253228,9.99
2020-05-25,526.2937965260546,9.99
2020-06-01,463.9671968190855,9.99
2020-06-08,445.640873015873,9.99
2020-06-15,418.6236012207528,9.99
2020-06-22,671.1764705882352,5.418571428571428
2020-06-29,1030.3565044687189,1.99
2020-07-06,949.2743055555555,6.561428571428571
2020-07-13,667.325037332006,9.99
2020-07-20,589.6384883142715,9.99
2020-07-27,550.8440913604767,9.99
2020-08-03,494.7913130304543,9.99
2020-08-10,459.2004634994206,9.99
