Name,User_Score,Critic_Score,Normalized_User_Score,Normalized_Critic_Score
Assassin's Creed III,6.9,85.0,0.7032967032967034,0.8470588235294118
Donkey Kong Country Returns,8.6,87.0,0.8901098901098901,0.8705882352941177
Halo: Combat Evolved,8.6,97.0,0.8901098901098901,0.9882352941176471
The Elder Scrolls V: Skyrim,6.4,92.0,0.6483516483516484,0.9294117647058824
Pokémon Emerald Version,9.0,76.0,0.9340659340659341,0.7411764705882353
Kingdom Hearts,8.8,85.0,0.9120879120879122,0.8470588235294118
Halo 3: ODST,7.1,83.0,0.7252747252747253,0.8235294117647058
Red Dead Redemption,9.0,95.0,0.9340659340659341,0.9647058823529412
Super Mario Sunshine,8.6,92.0,0.8901098901098901,0.9294117647058824
World of Warcraft,7.3,93.0,0.7472527472527473,0.9411764705882353
Driver,8.1,87.0,0.8351648351648352,0.8705882352941177
Gears of War 3,7.8,91.0,0.8021978021978022,0.9176470588235294
Kinect Sports,7.4,73.0,0.7582417582417583,0.7058823529411765
Gears of War,8.3,94.0,0.8571428571428572,0.9529411764705882
FIFA 15,5.7,82.0,0.5714285714285715,0.8117647058823529
Metal Gear Solid 2: Sons of Liberty,8.7,96.0,0.901098901098901,0.9764705882352941
Metal Gear Solid,9.4,94.0,0.9780219780219781,0.9529411764705882
Metal Gear Solid 4: Guns of the Patriots,8.7,94.0,0.901098901098901,0.9529411764705882
Final Fantasy XII,7.6,92.0,0.7802197802197802,0.9294117647058824
The Last of Us,9.1,95.0,0.945054945054945,0.9647058823529412
LittleBigPlanet,6.8,95.0,0.6923076923076923,0.9647058823529412
Resident Evil 2,9.2,89.0,0.956043956043956,0.8941176470588236
Dragon Quest IX: Sentinels of the Starry Skies,8.8,87.0,0.9120879120879122,0.8705882352941177
Tekken 2,8.9,89.0,0.9230769230769231,0.8941176470588236
Destiny,6.1,76.0,0.6153846153846154,0.7411764705882353
LEGO Star Wars: The Complete Saga,8.9,80.0,0.9230769230769231,0.788235294117647
Cooking Mama,7.2,67.0,0.7362637362637363,0.6352941176470588
Assassin's Creed II,8.6,91.0,0.8901098901098901,0.9176470588235294
Assassin's Creed,7.7,81.0,0.7912087912087913,0.8
Forza Motorsport 3,8.0,92.0,0.8241758241758242,0.9294117647058824
Super Mario Advance,7.8,84.0,0.8021978021978022,0.8352941176470589
Monster Hunter Freedom Unite,8.7,81.0,0.901098901098901,0.8
Batman: Arkham City,8.6,96.0,0.8901098901098901,0.9764705882352941
Grand Theft Auto V,7.9,97.0,0.8131868131868133,0.9882352941176471
Mario Kart: Super Circuit,8.3,93.0,0.8571428571428572,0.9411764705882353
Crash Bandicoot: The Wrath of Cortex,7.1,66.0,0.7252747252747253,0.6235294117647059
Call of Duty: World at War,7.6,85.0,0.7802197802197802,0.8470588235294118
Uncharted 4: A Thief's End,7.9,93.0,0.8131868131868133,0.9411764705882353
Final Fantasy XIII,7.3,83.0,0.7472527472527473,0.8235294117647058
Final Fantasy IX,8.9,94.0,0.9230769230769231,0.9529411764705882
Assassin's Creed III,6.7,84.0,0.6813186813186813,0.8352941176470589
Final Fantasy X-2,6.6,85.0,0.6703296703296703,0.8470588235294118
Call of Duty: Advanced Warfare,5.4,81.0,0.5384615384615385,0.8
Assassin's Creed II,8.8,90.0,0.9120879120879122,0.9058823529411765
Madden NFL 2004,8.5,94.0,0.8791208791208791,0.9529411764705882
New Super Mario Bros. U,8.1,84.0,0.8351648351648352,0.8352941176470589
Dragon Quest VIII: Journey of the Cursed King,8.8,89.0,0.9120879120879122,0.8941176470588236
Professor Layton and the Curious Village,8.6,85.0,0.8901098901098901,0.8470588235294118
FIFA Soccer 13,6.1,90.0,0.6153846153846154,0.9058823529411765
Diablo III,4.0,88.0,0.38461538461538464,0.8823529411764706
Medal of Honor: Rising Sun,7.6,68.0,0.7802197802197802,0.6470588235294118
Guitar Hero II,8.5,92.0,0.8791208791208791,0.9294117647058824
Fable III,6.5,80.0,0.6593406593406593,0.788235294117647
Resident Evil 5,7.5,84.0,0.7692307692307693,0.8352941176470589
The Legend of Zelda: Phantom Hourglass,8.0,90.0,0.8241758241758242,0.9058823529411765
FIFA Soccer 11,8.0,89.0,0.8241758241758242,0.8941176470588236
Resident Evil,9.0,91.0,0.9340659340659341,0.9176470588235294
Grand Theft Auto: Vice City Stories,8.0,86.0,0.8241758241758242,0.8588235294117647
Tony Hawk's Pro Skater,9.2,92.0,0.956043956043956,0.9294117647058824
Guitar Hero III: Legends of Rock,8.2,82.0,0.8461538461538461,0.8117647058823529
Link's Crossbow Training,7.1,68.0,0.7252747252747253,0.6470588235294118
Fallout 3,8.5,93.0,0.8791208791208791,0.9411764705882353
Uncharted: Drake's Fortune,8.1,88.0,0.8351648351648352,0.8823529411764706
Madden NFL 06,8.0,88.0,0.8241758241758242,0.8823529411764706
StarCraft II: Wings of Liberty,8.2,93.0,0.8461538461538461,0.9411764705882353
Assassin's Creed,7.3,81.0,0.7472527472527473,0.8
God of War III,8.7,92.0,0.901098901098901,0.9294117647058824
Crash Team Racing,9.0,88.0,0.9340659340659341,0.8823529411764706
LEGO Star Wars: The Complete Saga,5.4,80.0,0.5384615384615385,0.788235294117647
Driver 2,7.7,62.0,0.7912087912087913,0.5764705882352941
Batman: Arkham City,8.7,94.0,0.901098901098901,0.9529411764705882
Tony Hawk's Pro Skater 2,7.7,98.0,0.7912087912087913,1.0
