YearWeek,Playercount,Finalprice
2019-04-01,1523.8070175438597,9.99
2019-04-08,1617.9816285998013,9.99
2019-04-15,1645.5291411042945,9.99
2019-04-22,1588.3782976605276,9.99
2019-04-29,1618.2553402881272,9.99
2019-05-06,1535.5761194029851,9.99
2019-05-13,1475.058648111332,9.99
2019-05-20,1519.1520119225038,9.99
2019-05-27,1821.9320241691844,9.99
2019-06-03,1787.835181451613,9.99
2019-06-10,1732.550796812749,9.99
2019-06-17,1747.7329659318636,9.99
2019-06-24,4546.262686567165,2.275714285714286
2019-07-01,5911.48406374502,0.99
2019-07-08,4492.412263210369,8.704285714285714
2019-07-15,2919.183582089552,9.99
2019-07-22,2436.0471698113206,9.99
2019-07-29,2213.7757936507937,9.99
2019-08-05,2064.5762543467463,9.99
2019-08-12,1909.533763654419,9.99
2019-08-19,1794.7092445328033,9.99
2019-08-26,1755.7828685258964,9.99
2019-09-02,1652.9602583209141,9.99
2019-09-09,1473.4100101112235,9.99
2019-09-16,1426.0460293373799,9.99
2019-09-23,1411.5953930896344,9.99
2019-09-30,1470.1042084168337,9.99
2019-10-07,1415.865470852018,9.99
2019-10-14,1379.8368970661363,9.99
2019-10-21,1389.614962593516,9.99
2019-10-28,1422.7334337349398,9.99
2019-11-04,1404.9213147410358,9.99
2019-11-11,1392.066767068273,9.99
2019-11-18,1514.5689479060266,9.99
2019-11-25,3789.175944333996,2.4899999999999998
2019-12-02,3558.512909632572,8.704285714285714
2019-12-09,2356.090502237693,9.99
2019-12-16,3131.223107569721,4.847142857142857
2019-12-23,6155.731113320079,0.99
2019-12-30,5580.851042701092,6.132857142857143
2020-01-06,3336.8707753479125,9.99
2020-01-13,2610.216699801193,9.99
2020-01-20,2451.719463753724,9.99
2020-01-27,2349.155172413793,9.99
2020-02-03,2249.172654690619,9.99
2020-02-10,2164.69364448858,9.99
2020-02-17,2235.3068520357497,9.99
2020-02-24,2099.5858134920636,9.99
2020-03-02,1968.593253968254,9.99
2020-03-09,2212.9890873015875,9.99
2020-03-16,3245.9349553128104,9.99
2020-03-23,3627.3097961213325,9.99
2020-03-30,3827.0844510680577,9.99
2020-04-06,3720.4329692154915,9.99
2020-04-13,3856.721172962227,9.99
2020-04-20,3930.1673286991063,9.99
2020-04-27,3735.187189672294,9.99
2020-05-04,3232.9146825396824,9.99
2020-05-11,2899.95682382134,9.99
2020-05-18,2698.060079443893,9.99
2020-05-25,2619.7940446650123,9.99
2020-06-01,2472.738438587767,9.99
2020-06-08,2403.4558531746034,9.99
2020-06-15,2215.8723296032554,9.99
2020-06-22,3037.0399201596806,5.418571428571428
2020-06-29,5021.93594836147,1.99
2020-07-06,4713.244543650793,6.561428571428571
2020-07-13,3476.325535092086,9.99
2020-07-20,2980.2253731343285,9.99
2020-07-27,2811.61144278607,9.99
2020-08-03,2531.843656343656,9.99
2020-08-10,2340.4502314814813,9.99
