YearWeek,Playercount,Finalprice
2019-04-01,58.788442211055276,4.99
2019-04-08,55.12101265822785,4.99
2019-04-15,55.184265010351965,4.99
2019-04-22,38.24246987951807,4.99
2019-04-29,45.5838445807771,4.99
2019-05-06,31.59268537074148,4.99
2019-05-13,32.174174174174176,4.99
2019-05-20,60.10534429599178,0.99
2019-05-27,55.96704428424305,4.99
2019-06-03,24.37837837837838,4.99
2019-06-10,22.359077231695085,4.99
2019-06-17,50.49820788530466,4.99
2019-06-24,17.554359526372444,1.5614285714285714
2019-07-01,44.653225806451616,0.99
2019-07-08,126.3157894736842,4.418571428571428
2019-07-15,64.51390996459281,4.99
2019-07-22,53.93572874493927,4.99
2019-07-29,37.21015228426396,4.99
2019-08-05,14.817951318458418,4.99
2019-08-12,9.357605985037406,4.99
2019-08-19,8.55771144278607,4.99
2019-08-26,14.884231536926148,2.4899999999999998
2019-09-02,46.30730979612133,4.99
2019-09-09,9.724329792615073,4.99
2019-09-16,18.211509338717818,4.99
2019-09-23,19.545683997980817,4.99
2019-09-30,6.355397148676171,4.99
2019-10-07,6.826458752515091,4.99
2019-10-14,20.141358641358643,4.99
2019-10-21,26.6283851554664,2.4899999999999998
2019-10-28,2.6848209783156833,3.5614285714285714
2019-11-04,24.479355488418932,4.99
2019-11-11,32.20793085917641,4.99
2019-11-18,42.9425346331452,4.99
2019-11-25,11.415169660678643,2.847142857142857
2019-12-02,17.92369077306733,4.632857142857143
2019-12-09,73.76361819090455,4.99
2019-12-16,25.908859470468432,3.5614285714285714
2019-12-23,46.79273827534039,2.4899999999999998
2019-12-30,16.36651583710407,3.9185714285714286
2020-01-06,52.468297553669494,4.99
2020-01-13,21.669512807634355,4.99
2020-01-20,24.29051680883091,3.275714285714286
2020-01-27,6.287909836065574,4.99
2020-02-03,58.35897435897436,4.99
2020-02-10,51.58085977482088,4.99
2020-02-17,25.377572016460906,4.99
2020-02-24,12.483291770573565,2.4899999999999998
2020-03-02,45.39811133200795,4.99
2020-03-09,92.85692618806875,4.99
2020-03-16,68.73269809428285,4.99
2020-03-23,58.19848566792861,4.99
2020-03-30,34.96161616161616,4.99
2020-04-06,39.5355579868709,4.99
2020-04-13,55.100452488687786,4.99
2020-04-20,43.015083798882685,4.99
2020-04-27,28.503860010293362,4.99
2020-05-04,18.731037924151696,4.99
2020-05-11,54.07435129740519,4.99
2020-05-18,22.48181365221724,4.99
2020-05-25,29.4,4.99
2020-06-01,35.40506329113924,4.99
2020-06-08,39.86676721970839,4.99
2020-06-15,21.405405405405407,4.99
2020-06-22,57.16458229114557,2.704285714285714
2020-06-29,59.75497017892644,0.99
2020-07-06,78.68141153081511,3.275714285714286
2020-07-13,25.3,4.99
2020-07-20,42.26076076076076,4.99
2020-07-27,54.90224438902743,4.99
2020-08-03,32.70600100857287,4.99
2020-08-10,6.480093676814988,4.99
