,release_year,genre
178,2015,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access"
179,2015,"Massively Multiplayer,Racing,Simulation,Sports"
180,2019,"Indie,Strategy"
181,2016,"Action,Indie,Simulation,Early Access"
182,2016,"Casual,Free to Play,Indie"
183,2012,Action
184,2015,"Indie,RPG"
185,2017,"Action,Adventure"
186,2017,Racing
187,2011,Strategy
188,2013,RPG
189,2012,"Indie,Simulation"
190,2017,Strategy
191,nan,"Action,Massively Multiplayer"
192,nan,Indie
193,2017,"Action,Casual,Indie"
194,2019,"Indie,RPG,Strategy"
195,2019,"Indie,Simulation,Sports,Strategy"
196,2019,"Action,Adventure,Casual,Indie,Strategy"
197,2012,"Action,Adventure"
198,2014,"Indie,Racing,Simulation,Sports"
199,2019,"Action,Indie"
200,2015,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG"
201,2019,"Adventure,Casual,Indie,RPG,Simulation"
202,2017,RPG
203,2016,"Action,Adventure,Indie"
204,nan,"Action,Indie,RPG"
205,2016,"Action,Adventure,Indie"
206,2014,"Simulation,Strategy"
207,2018,"Simulation,Sports"
208,2018,RPG
209,2017,"Indie,Simulation"
210,2019,"Action,Adventure,Indie"
211,2009,
212,2009,Simulation
213,nan,"Adventure,Indie,Early Access"
214,2018,"Action,Indie"
215,2008,Action
216,nan,Action
217,2016,Action
218,2019,"RPG,Strategy"
219,2017,"Action,Adventure,Indie,Simulation"
220,2012,"Casual,Free to Play,Massively Multiplayer,RPG"
221,2018,"Action,Indie,Simulation"
222,2010,"Action,RPG"
223,2016,"Action,Free to Play,Massively Multiplayer"
224,2017,"Action,Massively Multiplayer,Simulation,Strategy"
225,2018,"Simulation,Early Access"
226,2019,"Action,Adventure"
227,nan,"Adventure,Indie,Simulation"
228,2019,"Adventure,Indie"
229,2018,"Action,Casual,Indie,Simulation,Early Access"
230,nan,"Nudity,Violent,Gore,Action,Adventure,Massively Multiplayer,RPG,Strategy,Simulation"
231,nan,Strategy
232,2018,"Action,Indie,Early Access"
233,2009,Action
234,2013,"Adventure,Free to Play,Massively Multiplayer,RPG"
235,2014,Action
236,2016,Casual
237,nan,"Adventure,Indie"
238,2009,"Simulation,Strategy"
239,2018,Casual
240,2015,"Adventure,Indie,RPG,Simulation,Strategy"
241,nan,"Action,Adventure"
242,2019,"Indie,Simulation,Strategy"
243,2019,Indie
244,nan,"Indie,Simulation,Casual"
245,2006,Simulation
246,2016,"Adventure,Indie"
247,2017,"Action,Adventure,Indie"
248,2017,"Indie,Simulation,Strategy"
249,2016,"Adventure,RPG"
250,nan,"Indie,Simulation,Casual"
251,2016,Strategy
252,2015,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy"
253,2012,"Action,Free to Play,Indie,Massively Multiplayer,RPG"
254,2018,RPG
255,2011,"Action,Adventure"
256,2017,"Indie,Simulation,Early Access"
257,2018,"Simulation,Strategy"
258,2015,"Racing,Simulation,Early Access"
259,nan,"Action,Indie"
260,2013,"Free to Play,Simulation"
261,2019,Action
262,2019,"Action,Adventure,Indie,Simulation"
263,2016,"Casual,Indie,Strategy"
264,nan,Action
265,2017,"Free to Play,Massively Multiplayer,RPG"
266,2014,"Action,RPG"
267,2013,Strategy
268,2017,"Racing,Simulation"
269,2017,"Action,RPG"
270,2017,"Action,Indie,Early Access"
271,2009,Action
272,2017,"Free to Play,Strategy"
273,2019,"Action,Indie"
274,2016,"Indie,RPG,Strategy"
275,2004,Action
276,2018,"Action,Indie,Racing,Simulation,Sports"
277,2017,"Action,Indie"
278,2019,"Action,Free to Play,Massively Multiplayer,Strategy"
279,2018,"Action,Indie,RPG,Simulation,Strategy"
280,2019,Action
281,2018,Action
282,2019,"Action,Free to Play,Indie,Strategy"
283,2017,"Action,Free to Play,Massively Multiplayer,Racing"
284,nan,"Action,Adventure,RPG"
285,2009,Simulation
286,2018,"Adventure,Indie"
287,2018,"Animation & Modeling,Design & Illustration,Utilities"
288,2016,"Action,Adventure,Indie,RPG"
289,2019,"Adventure,Indie,Early Access"
290,2013,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access"
291,2017,Simulation
292,2010,"Action,RPG"
293,2018,"Simulation,Strategy"
294,2014,Action
295,2019,Action
296,2019,"Action,Adventure"
