Platform,Global_Sales,,Parent
3DS,123.23,,
DC,4.55,,
DS,382.33,,
GBA,131.75,,
GC,159.42,,
PC,187.12,,
PS,206.55,,
PS2,945.97,,
PS3,784.3,,
PS4,243.03,,
PSP,187.92,,
PSV,30.88,,
Wii,658.98,,
WiiU,66.08,,
X360,853.3,,
XB,212.07,,
XOne,129.57,,
